	Alphitonia philippinensis (1)	Berchemia floribunda (2)	Berchemia giraldiana (3)	Berchemia hirtella (4)	Berchemia huana (5)	Berchemia kulingensis (6)	Berchemia lineata (7)	Berchemia loureiroana (8)	Berchemia sinica (9)	Berchemia yunnanensis (10)	Ceanothus asiaticus (11)	Colubrina arborescens (12)	Colubrina asiatica (13)	Colubrina pubescens (14)	Colubrina spinosa (15)	Gouania hypoglauca (19)	Gouania leptostachya (16)	Gouania leptostachya (18)	Gouania polygama (20)	Guoania javanica (17)	Hovenia acerba (21)	Hovenia acerba var. kiukiangensis (22)	Karwinskia calderonii (23)	Krugiodendron ferreum (24)	Paliurus perforatus (25)	Rhamnella franguloides (26)	Rhamnella tonkinensis (27)	Rhamnus crenata (28)	Rhamnus davurica (29)	Rhamnus diamantiaca (30)	Rhamnus erythroxylon (31)	Rhamnus globosa (32)	Rhamnus hainanensis (33)	Rhamnus koraiensis (34)	Rhamnus leptophylla (35)	Rhamnus longipes (36)	Rhamnus napalensis (37)	Rhamnus oreodendron (38)	Rhamnus parvifolia (39)	Rhamnus rosthornii (40)	Rhamnus sphaerosperma (41)	Rhamnus subapetala (42)	Rhamnus utilis (43)	Sageretia pauciflora (44)	Sageretia thea (45)	Scutia eberhardtia (46)	Scutia myrtina (47)	Ventilago calyculata (48)	Ventilago calyculata var. trichoclada (49)	Ventilago cristata (50)	Ventilago denticulate (51)	Ventilago inaequilateralis (52)	Ventilago leiocarpa (53)	Ventilago leiocarpa var. pubescens (54)	Ventilago maderaspatana (55)	Ventilago oblongifolia (56)	Ventilago pauciflora (57)	Ziziphus apetala (58)	Ziziphus attopensis (59)	Ziziphus cambodiana (60)	Ziziphus funiculosa (61)	Ziziphus guatemalensis (62)	Ziziphus horsfieldii (63)	Ziziphus incurva (64)	Ziziphus mauritiana (65)	Ziziphus oenopolia (66)	Ziziphus poilaneo (67)	Ziziphus rotundifolia (68)	Ziziphus rugosa (69)	Ziziphus rugosa var. harmandii (70)	Ziziphus thyrsiflora (71)
33	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	3.0	4.0	7.0	0.0	2.0	4.0	5.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	2.0	2.0	2.0	0.0	2.0	1.0	0.0	1.0	0.0	1.0	2.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	11.0	0.0	0.0	6.0	3.0	0.0	3.0	0.0	0.0	3.0
34	3.0	5.0	7.0	4.0	4.0	6.0	2.0	3.0	10.0	11.0	4.0	1.0	4.0	4.0	2.0	3.0	4.0	4.0	2.0	3.0	1.0	3.0	0.0	3.0	4.0	3.0	1.0	4.0	7.0	1.0	9.0	8.0	3.0	5.0	6.0	4.0	4.0	6.0	6.0	3.0	4.0	4.0	3.0	4.0	2.0	0.0	7.0	4.0	5.0	3.0	4.0	2.0	3.0	4.0	1.0	2.0	5.0	5.0	5.0	2.0	4.0	0.0	2.0	2.0	7.0	5.0	2.0	2.0	6.0	3.0	3.0
35	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	3.0
36	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
38	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
40	0.0	3.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	2.0	0.0	0.0	0.0	0.0	4.0	1.0	5.0	12.0	11.0	2.0	3.0	2.0	2.0	2.0	2.0	0.0	3.0	10.0	1.0	4.0	0.0	0.0	1.0	2.0	1.0	5.0	4.0	2.0	6.0	2.0	1.0	1.0	4.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0
42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
44	4.0	4.0	4.0	4.0	4.0	5.0	4.0	5.0	5.0	5.0	6.0	5.0	5.0	5.0	5.0	6.0	4.0	5.0	5.0	3.0	5.0	5.0	4.0	6.0	5.0	5.0	5.0	5.0	5.0	5.0	5.0	6.0	5.0	4.0	5.0	4.0	3.0	5.0	4.0	4.0	3.0	2.0	4.0	5.0	5.0	5.0	3.0	5.0	5.0	4.0	3.0	1.0	6.0	5.0	4.0	4.0	4.0	4.0	5.0	3.0	4.0	5.0	2.0	3.0	3.0	4.0	3.0	3.0	5.0	1.0	6.0
45	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0
46	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
48	0.0	3.0	2.0	0.0	0.0	0.0	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	3.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	2.0	3.0	2.0	0.0
49	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
50	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
51	0.0	1.0	1.0	0.0	0.0	0.0	3.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	5.0	2.0	1.0	0.0	0.0	3.0	0.0	2.0	1.0
55	0.0	3.0	1.0	4.0	0.0	3.0	1.0	3.0	2.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0
57	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0
58	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
59	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	3.0	1.0	2.0	3.0	0.0
60	8.0	1.0	2.0	1.0	1.0	2.0	0.0	0.0	2.0	1.0	2.0	0.0	2.0	1.0	15.0	8.0	3.0	4.0	9.0	1.0	1.0	7.0	2.0	3.0	0.0	0.0	1.0	1.0	0.0	2.0	2.0	3.0	0.0	4.0	1.0	1.0	0.0	4.0	2.0	1.0	5.0	0.0	2.0	2.0	0.0	7.0	0.0	2.0	2.0	3.0	2.0	0.0	0.0	3.0	2.0	3.0	0.0	9.0	3.0	4.0	1.0	6.0	2.0	7.0	6.0	7.0	3.0	6.0	6.0	4.0	6.0
62	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0
